Location;Year;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;tourist;Jumlah Penduduk;GDP 
Kalimantan Utara;2017;0;0;0;0;0;0;0;0;728373;6700;11131854
Kalimantan Utara;2018;0;0;0;0;0;0;0;0;634477;6828;11941388
Kalimantan Utara;2019;0;0;0;0;0;0;0;0;1908610;6956;13875101
Kalimantan Utara;2020;3794;57;2045;1692;174074;1784;118521;53769;229797;7018;15508062
Kalimantan Utara;2021;32146;754;33066;-1674;7501965;148405;6642125;711435;334625;7136;1906111
Kalimantan Utara;2022;9477;49;9419;9;11106589;217987;10742949;145653;211975;7278;14353329
Kepulauan Bangka Belitung;2017;0;0;0;0;0;0;0;0;3831465;14127;4882725
Kepulauan Bangka Belitung;2018;0;0;0;0;0;0;0;0;5197635;14321;5008195
Kepulauan Bangka Belitung;2019;0;0;0;0;0;0;0;0;4544157;14511;5223280
Kepulauan Bangka Belitung;2020;2338;35;1718;585;114465;1544;92435;20486;1586000;14557;6375224
Kepulauan Bangka Belitung;2021;50021;1427;49163;-569;10342072;248442;9554320;539310;864359;14732;520234
Kepulauan Bangka Belitung;2022;13785;154;13574;57;16156956;403476;15611664;141816;1005293;14946;5835143
Kepulauan Riau;2017;0;0;0;0;0;0;0;0;3805645;21094;10933285
Kepulauan Riau;2018;0;0;0;0;0;0;0;0;4611718;21748;11646140
Kepulauan Riau;2019;0;0;0;0;0;0;0;0;5121724;22416;11939466
Kepulauan Riau;2020;6995;171;6050;774;518603;14404;384735;119464;441966;20646;12346479
Kepulauan Riau;2021;47217;1577;46082;-442;11288674;329141;10369656;589877;782185;21182;14168265
Kepulauan Riau;2022;16671;140;16733;-202;17236573;475940;16500720;259913;504707;21798;13011886
Lampung;2017;0;0;0;0;0;0;0;0;6002487;82953;3699832
Lampung;2018;0;0;0;0;0;0;0;0;6881006;83777;3971646
Lampung;2019;0;0;0;0;0;0;0;0;17957376;84576;4217232
Lampung;2020;6276;274;4318;1684;321656;14132;199801;107723;10745577;90078;4512934
Lampung;2021;43474;3597;41022;-1145;10720803;727294;9246810;746699;8855256;90818;4087287
Lampung;2022;25735;315;25733;-313;17849327;1054958;16053301;741068;7870192;91766;3929033
Maluku;2017;0;0;0;0;0;0;0;0;863592;17302;2285929
Maluku;2018;0;0;0;0;0;0;0;0;1206288;17495;2426862
Maluku;2019;0;0;0;0;0;0;0;0;2981511;17685;2609704
Maluku;2020;5722;71;4557;1094;555846;8371;404297;143178;266371;18489;2509436
Maluku;2021;8874;193;9767;-1086;3864649;64794;3525048;274807;596315;18626;2853385
Maluku;2022;4140;30;4069;41;4626161;74031;4497492;54638;535755;18817;2611491
Maluku Utara;2017;0;0;0;0;0;0;0;0;513206;12017;2668606
Maluku Utara;2018;0;0;0;0;0;0;0;0;615624;12188;2958612
Maluku Utara;2019;0;0;0;0;0;0;0;0;2288358;12357;3212496
Maluku Utara;2020;2771;89;2353;329;379354;13090;274160;92104;621652;12829;4039581
Maluku Utara;2021;9334;214;9449;-329;2795329;71279;2534502;189548;480376;12992;3306932
Maluku Utara;2022;2490;31;2445;14;3607301;83142;3483893;40266;1146400;13193;5374105
Nusa Tenggara Barat;2017;0;0;0;0;0;0;0;0;4134434;50018;2498654
Nusa Tenggara Barat;2018;0;0;0;0;0;0;0;0;3192581;50777;2470597
Nusa Tenggara Barat;2019;0;0;0;0;0;0;0;0;11821213;51524;2571611
Nusa Tenggara Barat;2020;5664;261;4555;848;663128;34880;504366;123882;3172037;53201;2599555
Nusa Tenggara Barat;2021;22143;557;22365;-779;6296285;199412;5636807;460066;4030281;53900;2867254
Nusa Tenggara Barat;2022;8440;84;8410;-54;8928010;227567;8584211;116232;3561028;54737;2518356
Nusa Tenggara Timur;2017;0;0;0;0;0;0;0;0;2856531;52828;1716545
Nusa Tenggara Timur;2018;0;0;0;0;0;0;0;0;2947381;53603;1841754
Nusa Tenggara Timur;2019;0;0;0;0;0;0;0;0;9704623;54372;1963002
Nusa Tenggara Timur;2020;2167;49;1203;915;118704;1942;72932;43830;3264914;53256;2171826
Nusa Tenggara Timur;2021;62086;1298;61641;-853;12235495;261908;11104949;868638;2762675;53877;2058034
Nusa Tenggara Timur;2022;30162;180;29942;40;22356173;379453;21645104;331616;1970671;54663;2005699
Papua;2017;0;0;0;0;0;0;0;0;1117110;32522;5786413
Papua;2018;0;0;0;0;0;0;0;0;1354526;33002;6338568
Papua;2019;0;0;0;0;0;0;0;0;4551276;33471;5661895
Papua;2020;13209;155;7054;6000;1298225;17130;685245;595850;878435;43037;5406706
Papua;2021;21165;404;26650;-5889;9116681;133537;6504433;2478711;604721;43555;4641636
Papua;2022;15553;20;15407;126;11870642;148045;10907731;814866;1052891;44186;5941179
Papua Barat;2017;0;0;0;0;0;0;0;0;581002;9194;7842363
Papua Barat;2018;0;0;0;0;0;0;0;0;686836;9414;8495803
Papua Barat;2019;0;0;0;0;0;0;0;0;2492235;9636;8754237
Papua Barat;2020;5979;98;5449;432;497069;7903;398438;90728;348137;11341;739326
Papua Barat;2021;17681;258;17744;-321;5410074;85026;5081785;243263;473811;11568;7714968
Papua Barat;2022;8510;28;8456;26;7727405;96650;7546002;84753;551066;11833;7354381
Riau;2017;0;0;0;0;0;0;0;0;5149936;65987;10584477
Riau;2018;0;0;0;0;0;0;0;0;5552920;67176;11038490
Riau;2019;0;0;0;0;0;0;0;0;23132950;68351;11122701
Riau;2020;24966;582;23075;1309;1751221;39628;1393455;318138;5440820;63941;1141669
Riau;2021;103968;3535;101395;-962;29124966;851810;27134251;1138905;9084411;64936;14991413
Riau;2022;23714;335;23502;-123;37718763;1121144;36318196;279423;6465613;66144;12920564
Sulawesi Barat;2017;0;0;0;0;0;0;0;0;2119320;13209;2967586
Sulawesi Barat;2018;0;0;0;0;0;0;0;0;941944;13401;3205909
Sulawesi Barat;2019;0;0;0;0;0;0;0;0;2695402;13592;3411183
Sulawesi Barat;2020;1941;34;1551;356;153760;2382;116405;34973;952328;14192;3519212
Sulawesi Barat;2021;10427;313;10466;-352;2906896;71443;2638891;196562;3021169;14368;3707031
Sulawesi Barat;2022;3233;47;3184;2;3804373;97860;3669069;37444;710969;14586;3283675
Sulawesi Selatan;2017;0;0;0;0;0;0;0;0;8812173;86744;4782211
Sulawesi Selatan;2018;0;0;0;0;0;0;0;0;9616232;87481;5264208
Sulawesi Selatan;2019;0;0;0;0;0;0;0;0;28446762;88195;5718214
Sulawesi Selatan;2020;31045;593;25749;4703;2987211;79870;2332696;574645;9974040;90735;5964996
Sulawesi Selatan;2021;78955;1648;81973;-4666;28678417;512816;27136340;1029261;8845896;91395;5567503
Sulawesi Selatan;2022;34494;244;34134;116;35256621;624241;34155729;476651;30089324;92258;6559303
Sulawesi Tengah;2017;0;0;0;0;0;0;0;0;3427266;29611;4515728
Sulawesi Tengah;2018;0;0;0;0;0;0;0;0;2260800;30019;5551866
Sulawesi Tengah;2019;0;0;0;0;0;0;0;0;8259155;30421;6105603
Sulawesi Tengah;2020;3552;106;1865;1581;169878;6227;110096;53555;1791212;29857;818459
Sulawesi Tengah;2021;43701;1499;43738;-1536;9170389;289815;8238718;641856;5205728;30219;10554536
Sulawesi Tengah;2022;13846;128;13673;45;14853289;436665;14258681;157943;1388356;30661;6630627
Sulawesi Tenggara;2017;0;0;0;0;0;0;0;0;2963742;25834;4127878
Sulawesi Tenggara;2018;0;0;0;0;0;0;0;0;3370736;26236;4449209
Sulawesi Tenggara;2019;0;0;0;0;0;0;0;0;8720256;26637;4851415
Sulawesi Tenggara;2020;7907;147;6680;1080;653290;11256;483120;158914;12754805;26249;5876427
Sulawesi Tenggara;2021;12266;381;12958;-1073;5264805;122233;4851741;290831;2509188;26592;5244658
Sulawesi Tenggara;2022;5520;41;5452;27;6326030;143881;6116289;65860;1938708;27017;4971815
Sulawesi Utara;2017;0;0;0;0;0;0;0;0;2759200;24537;4474420
Sulawesi Utara;2018;0;0;0;0;0;0;0;0;4313069;24744;4810541
Sulawesi Utara;2019;0;0;0;0;0;0;0;0;6899359;24941;5217302
Sulawesi Utara;2020;9670;310;7075;2285;900831;36816;647936;216079;2378983;26219;5052113
Sulawesi Utara;2021;25129;752;26554;-2177;8360060;259562;7432941;667557;3690956;26386;5404887
Sulawesi Utara;2022;17971;150;17364;457;12455062;299578;11898546;256938;4809131;26595;5904336
Sumatera Barat;2017;0;0;0;0;0;0;0;0;5483028;53428;4019429
Sumatera Barat;2018;0;0;0;0;0;0;0;0;6402187;54118;4280266
Sumatera Barat;2019;0;0;0;0;0;0;0;0;19412170;54795;4488551
Sumatera Barat;2020;23464;525;21815;1124;1738888;37504;1367366;334018;7187800;55345;4382566
Sumatera Barat;2021;66409;1628;65888;-1107;21523314;494448;19980958;1047908;10750168;55802;5059341
Sumatera Barat;2022;14767;218;14362;187;26029953;592583;25139826;297544;8477593;56406;4535677
Sumatera Selatan;2017;0;0;0;0;0;0;0;0;5948669;82838;4631505
Sumatera Selatan;2018;0;0;0;0;0;0;0;0;6137095;83915;5010467
Sumatera Selatan;2019;0;0;0;0;0;0;0;0;19380151;84972;5335910
Sumatera Selatan;2020;11826;599;9361;1866;1233469;65643;900256;267570;8088606;84674;683381
Sumatera Selatan;2021;48160;2483;47527;-1850;13484608;670133;12112744;701731;5632226;85509;5384274
Sumatera Selatan;2022;22212;294;21621;297;19765019;846351;18598568;320100;6534906;86570;5773133
Sumatera Utara;2017;0;0;0;0;0;0;0;0;9364706;143084;4800360
Sumatera Utara;2018;0;0;0;0;0;0;0;0;10345256;144760;5142749
Sumatera Utara;2019;0;0;0;0;0;0;0;0;63576590;146394;5462040
Sumatera Utara;2020;18149;679;15391;2079;1873928;78955;1354533;440440;21892296;147994;6319418
Sumatera Utara;2021;87974;2214;87777;-2017;21566818;610261;19236882;1719675;13442477;149362;5497904
Sumatera Utara;2022;52743;395;51746;602;37471475;815813;35987098;668564;16857305;151152;5757403
